n,avg_time_ms,stddev_ms
3700,3.58467,2.55278
3710,9.89867,4.13724
3720,7.24067,0.195049
3730,6.90667,1.01016
3740,6.606,2.54276
3750,5.23933,7.40954
3760,9.04467,8.09412
3770,7.91367,0.431803
3780,5.92233,4.28824
3790,10.1487,8.30999
3800,7.64433,2.89841
3810,6.568,6.81357
3820,7.93467,6.44729
3830,6.996,0.888733
3840,7.82167,0.666418
3850,7.242,1.13256
3860,6.57333,0.713377
3870,7.95767,6.47251
3880,7.48633,0.369581
3890,7.06733,0.520565
3900,8.53567,1.0097
3910,7.28467,0.36824
3920,7.31367,0.826663
3930,7.664,0.123037
3940,7.574,0.325792
3950,10.722,5.29717
3960,8.38967,2.33138
3970,7.575,0.324722
3980,10.486,2.36347
3990,9.665,2.16455
4000,7.86067,1.43667
4010,9.264,1.35035
4020,10.999,2.51203
4030,7.96533,1.81452
4040,10.6587,1.12784
4050,7.566,4.37154
4060,14.7063,2.89419
4070,9.35633,1.17384
4080,5.25667,3.71854
4090,17.1503,5.57719
4100,8.30967,0.857025
4110,5.32633,3.78839
4120,10.477,7.40837
4130,5.35567,7.57406
4140,12.3577,6.88816
4150,9.46333,1.02339
4160,9.34833,0.333132
4170,6.96,3.17986
4180,10.631,7.51817
4190,8.60867,1.81399
4200,12.002,2.85621
4210,8.91533,1.73996
4220,4.41033,4.03482
4230,13.7253,2.80888
4240,8.41633,0.943047
4250,9.06967,0.632799
4260,9.59033,1.3542
4270,9.00433,8.35434
4280,7.86767,1.57847
4290,10.261,2.63481
4300,9.85767,8.66126
4310,9.39133,4.22834
4320,9.24333,5.71175
4330,5.659,4.04718
4340,13.2473,9.5293
4350,7.73433,6.41841
4360,11.1557,7.91644
4370,4.745,3.87387
4380,15.8613,9.88616
4390,8.41533,8.32467
4400,12.69,1.74822
4410,10.592,2.67822
4420,11.6993,2.34798
4430,11.5773,1.76904
4440,19.7193,8.91193
4450,14.4197,1.77693
4460,12.349,0.472488
4470,19.2627,3.64308
4480,17.946,1.98176
4490,13.9237,0.322162
4500,15.686,3.28065
4510,11.6643,1.82831
4520,12.9797,1.59829
4530,13.655,1.43384
4540,16.7357,0.822408
4550,14.8783,0.839953
4560,16.941,4.36563
4570,18.795,3.60376
4580,16.4957,0.997962
4590,14.731,1.57751
4600,11.3427,1.48432
4610,13.9497,1.76505
4620,10.5603,0.522042
4630,11.6413,0.32008
4640,10.859,4.07334
4650,11.569,0.0938971
4660,10.769,5.24561
4670,11.6697,0.0957265
4680,11.473,0.38362
4690,9.26067,2.28731
4700,12.627,2.88315
4710,11.9287,0.871619
4720,11.826,2.5837
4730,9.24467,3.47682
4740,11.7353,0.987361
4750,11.5027,0.450631
4760,12.322,0.521061
4770,13.3437,2.41157
4780,13.9547,2.11078
4790,9.87833,2.08563
4800,12.428,2.44505
4810,8.64933,4.18606
4820,14.1097,2.22165
4830,12.2267,1.32916
4840,10.479,4.61861
4850,12.3573,11.0966
4860,7.98667,6.10775
4870,17.3683,3.11716
4880,11.6433,0.921194
4890,11.7863,0.954136
4900,11.5487,6.71539
4910,11.5823,0.518776
4920,13.2933,11.0734
4930,6.749,4.78195
4940,17.0933,5.24821
4950,9.155,4.36678
4960,14.929,4.90951
4970,11.3127,8.61542
4980,13.156,9.7585
4990,7.82033,5.71482
5000,18.0947,6.54986
5010,10.575,7.87577
5020,14.2997,2.41799
